features_string,Churn_index,prediction
"(7,[0,1,2],[4.0,73.9000015258789,295.6000061035156])",1,1
"[71.0,109.69999694824219,7788.7001953125,1.0,1.0,0.0,0.0]",0,0
"[7.0,48.20000076293945,337.3999938964844,1.0,0.0,0.0,0.0]",0,0
"[72.0,101.30000305175781,7293.60009765625,1.0,0.0,0.0,0.0]",0,0
"[1.0,25.100000381469727,25.100000381469727,0.0,0.0,0.0,1.0]",1,0
"[3.0,19.850000381469727,59.54999923706055,1.0,0.0,0.0,0.0]",0,0
"[69.0,19.700000762939453,1359.300048828125,1.0,1.0,1.0,0.0]",0,0
"[43.0,25.100000381469727,1079.300048828125,1.0,0.0,1.0,0.0]",0,0
"[72.0,85.1500015258789,6130.7998046875,0.0,1.0,0.0,0.0]",0,0
"[14.0,51.45000076293945,720.2999877929688,1.0,0.0,0.0,0.0]",0,0
"[35.0,99.25,3473.75,1.0,0.0,0.0,0.0]",0,0
"(7,[0,1,2],[29.0,94.19999694824219,2731.800048828125])",0,0
"[39.0,99.94999694824219,3898.050048828125,1.0,1.0,1.0,0.0]",0,0
"[6.0,50.349998474121094,302.1000061035156,1.0,1.0,0.0,0.0]",0,0
"[69.0,116.0,8004.0,1.0,1.0,0.0,0.0]",0,0
"[33.0,107.55000305175781,3549.14990234375,1.0,0.0,0.0,0.0]",0,0
"(7,[0,1,2],[15.0,101.3499984741211,1520.25])",1,1
"[3.0,19.950000762939453,59.849998474121094,1.0,0.0,0.0,0.0]",0,0
"[6.0,84.3499984741211,506.1000061035156,1.0,1.0,0.0,0.0]",1,1
"(7,[0,1,2],[25.0,25.299999237060547,632.5])",1,0
"[46.0,19.25,885.5,1.0,1.0,1.0,0.0]",0,0
"[54.0,114.6500015258789,6191.10009765625,1.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[4.0,75.3499984741211,301.3999938964844])",0,1
"(7,[0,1,2],[5.0,47.150001525878906,235.75])",1,0
"[72.0,109.9000015258789,7912.7998046875,1.0,0.0,0.0,0.0]",0,0
"[9.0,72.9000015258789,656.0999755859375,1.0,0.0,1.0,0.0]",1,0
"[16.0,100.69999694824219,1611.199951171875,1.0,1.0,1.0,0.0]",0,1
"[23.0,24.350000381469727,560.0499877929688,0.0,1.0,1.0,0.0]",0,0
"[8.0,54.400001525878906,435.20001220703125,0.0,1.0,1.0,0.0]",0,0
"[52.0,50.20000076293945,2610.39990234375,0.0,1.0,1.0,1.0]",0,0
"[11.0,36.04999923706055,396.54998779296875,1.0,0.0,1.0,1.0]",0,0
"[53.0,99.5,5273.5,1.0,0.0,0.0,0.0]",0,0
"[70.0,97.6500015258789,6835.5,1.0,1.0,0.0,0.0]",0,0
"[72.0,61.20000076293945,4406.39990234375,0.0,0.0,0.0,1.0]",0,0
"[46.0,108.9000015258789,5009.39990234375,1.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[2.0,19.350000381469727,38.70000076293945])",0,0
"[67.0,81.3499984741211,5450.4501953125,0.0,1.0,1.0,0.0]",0,0
"[40.0,62.04999923706055,2482.0,0.0,0.0,0.0,1.0]",0,0
"[2.0,74.4000015258789,148.8000030517578,1.0,1.0,0.0,0.0]",1,1
"[72.0,105.0,7560.0,1.0,1.0,0.0,0.0]",0,0
"[23.0,55.29999923706055,1271.9000244140625,0.0,0.0,1.0,0.0]",0,0
"[59.0,93.8499984741211,5537.14990234375,0.0,1.0,0.0,0.0]",1,0
"(7,[0,1,2],[9.0,49.20000076293945,442.79998779296875])",0,0
"[22.0,87.0,1914.0,0.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[15.0,49.0,735.0])",0,0
"[67.0,85.25,5711.75,1.0,0.0,0.0,0.0]",0,0
"[62.0,60.150001525878906,3729.300048828125,0.0,1.0,0.0,0.0]",0,0
"[63.0,83.5,5260.5,0.0,1.0,1.0,0.0]",0,0
"[52.0,25.600000381469727,1331.199951171875,0.0,0.0,1.0,0.0]",0,0
"[45.0,102.1500015258789,4596.75,1.0,0.0,0.0,0.0]",0,0
"[1.0,79.69999694824219,79.69999694824219,1.0,0.0,0.0,0.0]",1,1
"[24.0,74.4000015258789,1785.5999755859375,0.0,1.0,0.0,0.0]",0,0
"[46.0,20.200000762939453,929.2000122070312,0.0,1.0,1.0,0.0]",0,0
"[28.0,100.3499984741211,2809.800048828125,0.0,1.0,1.0,0.0]",0,0
"[24.0,79.8499984741211,1916.4000244140625,0.0,1.0,1.0,0.0]",0,0
"[72.0,74.55000305175781,5367.60009765625,1.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[63.0,104.5,6583.5])",0,0
"[25.0,78.3499984741211,1958.75,1.0,0.0,0.0,0.0]",0,0
"[45.0,78.75,3543.75,0.0,1.0,1.0,0.0]",0,0
"[49.0,75.19999694824219,3684.800048828125,0.0,0.0,1.0,0.0]",1,0
"(7,[0,1,2],[65.0,93.55000305175781,6080.75])",0,0
"[1.0,48.45000076293945,48.45000076293945,1.0,0.0,0.0,0.0]",0,0
"[13.0,84.05000305175781,1092.6500244140625,0.0,1.0,1.0,0.0]",1,0
"[21.0,104.4000015258789,2192.39990234375,0.0,1.0,1.0,0.0]",1,1
"[48.0,60.599998474121094,2908.800048828125,1.0,1.0,0.0,0.0]",0,0
"[22.0,56.25,1237.5,0.0,1.0,0.0,0.0]",0,0
"[53.0,105.55000305175781,5594.14990234375,1.0,0.0,0.0,0.0]",0,0
"[52.0,85.80000305175781,4461.60009765625,1.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[4.0,19.649999618530273,78.5999984741211])",0,0
"[40.0,105.94999694824219,4238.0,1.0,0.0,0.0,0.0]",0,0
"[57.0,58.75,3348.75,1.0,1.0,0.0,1.0]",0,0
"[70.0,75.5,5285.0,1.0,0.0,0.0,0.0]",0,0
"[12.0,61.650001525878906,739.7999877929688,1.0,0.0,0.0,0.0]",1,0
"[55.0,100.0,5500.0,1.0,0.0,0.0,0.0]",1,0
"(7,[0,1,2],[24.0,55.650001525878906,1335.5999755859375])",1,0
"[3.0,70.69999694824219,212.10000610351562,0.0,0.0,1.0,0.0]",0,0
"[72.0,99.1500015258789,7138.7998046875,0.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[72.0,86.6500015258789,6238.7998046875])",0,0
"[64.0,86.80000305175781,5555.2001953125,1.0,1.0,1.0,0.0]",0,0
"[70.0,109.5,7665.0,0.0,1.0,0.0,0.0]",1,0
"(7,[0,1,2],[7.0,20.75,145.25])",0,0
"[4.0,19.899999618530273,79.5999984741211,0.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[16.0,20.600000381469727,329.6000061035156])",0,0
"[52.0,74.0,3848.0,1.0,0.0,0.0,0.0]",0,0
"(7,[0,1,2],[1.0,75.5,75.5])",0,1
"[2.0,34.70000076293945,69.4000015258789,1.0,0.0,0.0,1.0]",1,1
"(7,[0,1,2],[47.0,86.94999694824219,4086.64990234375])",0,0
"[62.0,20.0,1240.0,0.0,0.0,1.0,0.0]",0,0
"[45.0,100.30000305175781,4513.5,1.0,0.0,0.0,0.0]",0,0
"[72.0,105.5999984741211,7603.2001953125,0.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[6.0,60.900001525878906,365.3999938964844])",0,0
"(7,[0,1,2],[5.0,75.1500015258789,375.75])",0,1
"[64.0,104.05000305175781,6659.2001953125,0.0,1.0,0.0,0.0]",0,0
"[5.0,53.849998474121094,269.25,1.0,0.0,0.0,0.0]",1,0
"(7,[0,1,2],[17.0,65.75,1117.75])",0,0
"[4.0,101.1500015258789,404.6000061035156,0.0,1.0,1.0,0.0]",1,1
"[11.0,99.5,1094.5,1.0,1.0,0.0,0.0]",1,1
"(7,[0,1,2],[38.0,20.100000381469727,763.7999877929688])",0,0
"[3.0,83.75,251.25,1.0,0.0,0.0,0.0]",1,1
"[3.0,75.25,225.75,1.0,0.0,0.0,0.0]",1,1
"[4.0,29.899999618530273,119.5999984741211,0.0,1.0,0.0,1.0]",0,1
"(7,[0,1,2],[3.0,50.150001525878906,150.4499969482422])",0,0
"[35.0,100.25,3508.75,1.0,0.0,0.0,0.0]",1,0
"[47.0,85.30000305175781,4009.10009765625,1.0,1.0,1.0,0.0]",0,0
"[7.0,80.30000305175781,562.0999755859375,1.0,0.0,0.0,0.0]",1,1
"[54.0,94.0999984741211,5081.39990234375,1.0,0.0,0.0,0.0]",0,0
"(7,[0,1,2],[32.0,96.19999694824219,3078.39990234375])",1,0
"[69.0,99.44999694824219,6862.0498046875,0.0,1.0,1.0,0.0]",1,0
"[26.0,50.349998474121094,1309.0999755859375,0.0,1.0,1.0,0.0]",0,0
"[33.0,51.45000076293945,1697.8499755859375,1.0,1.0,0.0,0.0]",0,0
"[26.0,69.05000305175781,1795.300048828125,1.0,0.0,0.0,0.0]",0,0
"[72.0,80.44999694824219,5792.39990234375,1.0,1.0,1.0,0.0]",0,0
"[25.0,54.75,1368.75,1.0,0.0,1.0,0.0]",0,0
"(7,[0,1,2],[20.0,70.55000305175781,1411.0])",0,0
"[2.0,19.5,39.0,1.0,0.0,0.0,0.0]",0,0
"[72.0,108.6500015258789,7822.7998046875,1.0,1.0,1.0,0.0]",0,0
"[69.0,92.1500015258789,6358.35009765625,0.0,1.0,1.0,0.0]",0,0
"[59.0,20.350000381469727,1200.6500244140625,1.0,1.0,0.0,0.0]",0,0
"[63.0,80.0,5040.0,0.0,1.0,0.0,0.0]",0,0
"[69.0,105.0999984741211,7251.89990234375,1.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[17.0,76.6500015258789,1303.050048828125])",1,0
"[61.0,101.05000305175781,6164.0498046875,1.0,1.0,0.0,0.0]",0,0
"[28.0,64.4000015258789,1803.199951171875,0.0,1.0,1.0,0.0]",0,0
"[49.0,43.79999923706055,2146.199951171875,1.0,0.0,0.0,0.0]",0,0
"[1.0,19.850000381469727,19.850000381469727,1.0,0.0,0.0,0.0]",0,0
"[67.0,108.75,7286.25,1.0,1.0,1.0,0.0]",1,0
"(7,[0,1,2],[38.0,70.5999984741211,2682.800048828125])",0,0
"[16.0,20.399999618530273,326.3999938964844,1.0,1.0,1.0,0.0]",0,0
"[72.0,19.549999237060547,1407.5999755859375,1.0,1.0,1.0,0.0]",0,0
"[69.0,85.4000015258789,5892.60009765625,1.0,1.0,0.0,0.0]",0,0
"[23.0,60.0,1380.0,1.0,1.0,0.0,0.0]",0,0
"[56.0,80.30000305175781,4496.7998046875,1.0,1.0,0.0,0.0]",0,0
"[4.0,48.25,193.0,1.0,0.0,0.0,1.0]",0,1
"[25.0,75.5,1887.5,0.0,1.0,1.0,0.0]",0,0
"[62.0,65.0999984741211,4036.199951171875,1.0,0.0,0.0,0.0]",0,0
"[20.0,20.049999237060547,401.0,0.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[16.0,78.75,1260.0])",0,0
"[64.0,115.0,7360.0,1.0,1.0,0.0,0.0]",0,0
"[27.0,110.5,2983.5,1.0,0.0,0.0,0.0]",0,1
"(7,[0,1,2],[4.0,54.29999923706055,217.1999969482422])",1,0
"[44.0,20.0,880.0,0.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[39.0,53.849998474121094,2100.14990234375])",0,0
"[4.0,88.8499984741211,355.3999938964844,1.0,0.0,0.0,0.0]",1,1
"[35.0,21.100000381469727,738.5,1.0,0.0,0.0,0.0]",0,0
"[68.0,107.1500015258789,7286.2001953125,0.0,1.0,1.0,0.0]",0,0
"[9.0,70.05000305175781,630.4500122070312,0.0,1.0,0.0,0.0]",0,1
"(7,[0,1,2],[42.0,79.3499984741211,3332.699951171875])",0,0
"[18.0,50.29999923706055,905.4000244140625,1.0,0.0,0.0,0.0]",0,0
"[72.0,101.3499984741211,7297.2001953125,1.0,1.0,0.0,0.0]",0,0
"[6.0,19.549999237060547,117.30000305175781,0.0,0.0,1.0,0.0]",0,0
"[61.0,94.1500015258789,5743.14990234375,0.0,1.0,0.0,0.0]",0,0
"[22.0,59.75,1314.5,0.0,1.0,0.0,0.0]",0,0
"[7.0,48.79999923706055,341.6000061035156,1.0,1.0,1.0,0.0]",0,0
"[48.0,24.350000381469727,1168.800048828125,1.0,0.0,0.0,0.0]",0,0
"[20.0,76.0,1520.0,1.0,1.0,1.0,0.0]",0,0
"[3.0,105.9000015258789,317.70001220703125,0.0,1.0,0.0,0.0]",1,1
"[33.0,20.100000381469727,663.2999877929688,1.0,1.0,1.0,0.0]",0,0
"[1.0,49.900001525878906,49.900001525878906,0.0,0.0,1.0,0.0]",0,0
"[1.0,89.30000305175781,89.30000305175781,1.0,0.0,0.0,0.0]",1,1
"[66.0,103.1500015258789,6807.89990234375,0.0,1.0,1.0,0.0]",0,0
"[70.0,115.6500015258789,8095.5,0.0,1.0,0.0,0.0]",1,0
"(7,[0,1,2],[3.0,19.799999237060547,59.400001525878906])",1,0
"[10.0,98.5,985.0,1.0,0.0,0.0,0.0]",1,1
"[72.0,106.0999984741211,7639.2001953125,0.0,1.0,1.0,0.0]",0,0
"[39.0,51.04999923706055,1990.949951171875,1.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[1.0,89.0999984741211,89.0999984741211])",1,1
"[52.0,91.5999984741211,4763.2001953125,0.0,1.0,0.0,0.0]",0,0
"[70.0,59.5,4165.0,0.0,1.0,1.0,1.0]",0,0
"[36.0,94.69999694824219,3409.199951171875,0.0,0.0,1.0,0.0]",0,0
"[35.0,81.5999984741211,2856.0,0.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[30.0,100.4000015258789,3012.0])",0,0
"[31.0,20.649999618530273,640.1500244140625,0.0,1.0,1.0,0.0]",0,0
"[58.0,106.44999694824219,6174.10009765625,1.0,0.0,0.0,0.0]",1,0
"[12.0,89.4000015258789,1072.800048828125,1.0,0.0,0.0,0.0]",1,1
"[9.0,74.6500015258789,671.8499755859375,1.0,0.0,0.0,0.0]",1,1
"[12.0,20.399999618530273,244.8000030517578,1.0,0.0,0.0,0.0]",0,0
"[61.0,106.19999694824219,6478.2001953125,0.0,1.0,0.0,0.0]",0,0
"[31.0,104.3499984741211,3234.85009765625,1.0,0.0,0.0,0.0]",0,0
"[70.0,114.19999694824219,7994.0,1.0,1.0,1.0,0.0]",1,0
"[4.0,84.05000305175781,336.20001220703125,1.0,0.0,1.0,0.0]",1,1
"(7,[0,1,2],[8.0,94.0,752.0])",1,1
"[5.0,78.75,393.75,0.0,1.0,0.0,0.0]",1,1
"(7,[0,1,2],[12.0,99.94999694824219,1199.4000244140625])",1,1
"[70.0,105.3499984741211,7374.5,0.0,1.0,0.0,0.0]",0,0
"[60.0,23.950000762939453,1437.0,0.0,1.0,1.0,0.0]",0,0
"[68.0,24.950000762939453,1696.5999755859375,1.0,1.0,0.0,0.0]",0,0
"[1.0,19.549999237060547,19.549999237060547,1.0,0.0,0.0,0.0]",0,0
"[68.0,83.0,5644.0,1.0,1.0,1.0,0.0]",1,0
"[20.0,94.55000305175781,1891.0,0.0,1.0,0.0,0.0]",1,1
"[68.0,91.69999694824219,6235.60009765625,1.0,1.0,0.0,0.0]",0,0
"[33.0,93.80000305175781,3095.39990234375,1.0,1.0,1.0,0.0]",1,0
"[53.0,19.899999618530273,1054.699951171875,0.0,1.0,0.0,0.0]",0,0
"[59.0,88.75,5236.25,1.0,1.0,1.0,0.0]",0,0
"[3.0,79.4000015258789,238.1999969482422,1.0,0.0,0.0,0.0]",1,1
"[70.0,108.1500015258789,7570.5,1.0,1.0,1.0,0.0]",0,0
"[12.0,19.799999237060547,237.60000610351562,0.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[23.0,20.450000762939453,470.3500061035156])",0,0
"[40.0,93.4000015258789,3736.0,1.0,0.0,0.0,0.0]",0,0
"(7,[0,1,2],[42.0,19.799999237060547,831.5999755859375])",0,0
"[71.0,95.6500015258789,6791.14990234375,1.0,1.0,0.0,0.0]",0,0
"[19.0,66.4000015258789,1261.5999755859375,0.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[61.0,107.75,6572.75])",0,0
"[17.0,69.0,1173.0,1.0,0.0,0.0,0.0]",0,0
"[9.0,80.8499984741211,727.6500244140625,1.0,0.0,0.0,0.0]",1,1
"[46.0,91.30000305175781,4199.7998046875,1.0,0.0,0.0,0.0]",0,0
"[47.0,70.55000305175781,3315.85009765625,1.0,1.0,1.0,0.0]",1,0
"[1.0,35.25,35.25,0.0,0.0,0.0,1.0]",1,1
"[34.0,24.700000762939453,839.7999877929688,1.0,1.0,0.0,0.0]",0,0
"[45.0,70.05000305175781,3152.25,1.0,0.0,0.0,0.0]",0,0
"[29.0,95.9000015258789,2781.10009765625,0.0,1.0,0.0,0.0]",1,0
"[72.0,109.94999694824219,7916.39990234375,0.0,1.0,0.0,0.0]",0,0
"[50.0,103.69999694824219,5185.0,0.0,1.0,1.0,0.0]",1,0
"(7,[0,1,2],[1.0,50.150001525878906,50.150001525878906])",0,0
"[64.0,24.799999237060547,1587.199951171875,0.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[22.0,65.05000305175781,1431.0999755859375])",0,0
"[31.0,93.80000305175781,2907.800048828125,0.0,1.0,0.0,0.0]",0,0
"[71.0,66.80000305175781,4742.7998046875,1.0,1.0,0.0,1.0]",0,0
"[1.0,74.5999984741211,74.5999984741211,0.0,1.0,1.0,0.0]",0,1
"[11.0,74.3499984741211,817.8499755859375,0.0,1.0,1.0,0.0]",1,0
"[12.0,80.8499984741211,970.2000122070312,0.0,1.0,0.0,0.0]",1,1
"[29.0,20.350000381469727,590.1500244140625,1.0,0.0,0.0,0.0]",0,0
"[2.0,104.4000015258789,208.8000030517578,1.0,1.0,0.0,0.0]",1,1
"(7,[0,1,2],[8.0,66.69999694824219,533.5999755859375])",0,0
"[1.0,70.5,70.5,1.0,0.0,0.0,0.0]",1,1
"[41.0,68.5999984741211,2812.60009765625,1.0,0.0,0.0,0.0]",0,0
"(7,[0,1,2],[1.0,20.149999618530273,20.149999618530273])",1,0
"(7,[0,1,2],[20.0,19.700000762939453,394.0])",0,0
"[1.0,73.0,73.0,1.0,0.0,0.0,0.0]",1,1
"[3.0,75.05000305175781,225.14999389648438,1.0,0.0,0.0,0.0]",1,1
"[2.0,79.75,159.5,1.0,0.0,0.0,0.0]",1,1
"[9.0,19.049999237060547,171.4499969482422,1.0,0.0,0.0,0.0]",0,0
"[1.0,20.5,20.5,1.0,0.0,0.0,0.0]",1,0
"[8.0,19.049999237060547,152.39999389648438,1.0,1.0,1.0,0.0]",0,0
"[1.0,84.30000305175781,84.30000305175781,1.0,0.0,0.0,0.0]",1,1
"(7,[0,1,2],[24.0,102.94999694824219,2470.800048828125])",1,1
"[48.0,103.8499984741211,4984.7998046875,1.0,0.0,0.0,0.0]",0,0
"(7,[0,1,2],[4.0,86.05000305175781,344.20001220703125])",0,1
"[65.0,84.19999694824219,5473.0,0.0,1.0,1.0,0.0]",0,0
"[1.0,55.70000076293945,55.70000076293945,0.0,1.0,0.0,0.0]",0,1
"[1.0,35.900001525878906,35.900001525878906,1.0,0.0,0.0,1.0]",0,1
"[7.0,76.44999694824219,535.1500244140625,1.0,0.0,0.0,0.0]",1,1
"[23.0,79.3499984741211,1825.050048828125,1.0,0.0,0.0,0.0]",0,0
"[41.0,35.45000076293945,1453.449951171875,1.0,1.0,0.0,1.0]",0,0
"[55.0,19.350000381469727,1064.25,0.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[1.0,20.25,20.25])",0,0
"[30.0,104.0999984741211,3123.0,1.0,0.0,0.0,0.0]",0,1
"[25.0,55.54999923706055,1388.75,0.0,1.0,0.0,0.0]",0,0
"(7,[0,1,2],[1.0,21.100000381469727,21.100000381469727])",0,0
"[14.0,89.80000305175781,1257.199951171875,1.0,0.0,0.0,0.0]",1,1
"(7,[0,1,2],[25.0,20.149999618530273,503.75])",0,0
"[67.0,25.25,1691.75,1.0,1.0,0.0,0.0]",0,0
"[50.0,108.75,5437.5,1.0,1.0,0.0,0.0]",0,0
"[37.0,99.19999694824219,3670.39990234375,1.0,1.0,0.0,0.0]",1,0
"[46.0,105.19999694824219,4839.2001953125,1.0,0.0,1.0,0.0]",1,0
"[34.0,55.0,1870.0,1.0,0.0,0.0,0.0]",0,0
"[72.0,111.94999694824219,8060.39990234375,0.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[1.0,84.8499984741211,84.8499984741211])",1,1
"[34.0,60.849998474121094,2068.89990234375,1.0,1.0,0.0,0.0]",0,0
"[1.0,25.25,25.25,1.0,0.0,0.0,1.0]",0,0
"[27.0,45.849998474121094,1237.949951171875,0.0,1.0,1.0,1.0]",0,0
"[1.0,20.399999618530273,20.399999618530273,0.0,1.0,1.0,0.0]",0,0
"[31.0,80.55000305175781,2497.050048828125,1.0,1.0,1.0,0.0]",0,0
"(7,[0,1,2],[61.0,104.0,6344.0])",0,0
"[68.0,72.94999694824219,4960.60009765625,0.0,1.0,1.0,0.0]",0,0
"[1.0,70.0999984741211,70.0999984741211,1.0,0.0,0.0,0.0]",0,1
"[50.0,94.4000015258789,4720.0,0.0,1.0,0.0,0.0]",0,0
"[72.0,110.75,7974.0,1.0,1.0,0.0,0.0]",0,0
"[60.0,99.0,5940.0,0.0,1.0,0.0,0.0]",0,0
"[49.0,99.25,4863.25,0.0,1.0,0.0,0.0]",0,0
